iso3_i,iso3_j,contiguity,common_language,colonial_link,distance
ABW,NFK,0,0,0,13783.122
ABW,NGA,0,0,0,8081.917
ABW,NIC,0,1,0,1761.9291
ABW,NIU,0,0,0,11484.714
ABW,NLD,0,1,1,7896.8965
ABW,NOR,0,0,0,8301.125
ABW,NPL,0,0,0,14828.1
ABW,NRU,0,0,0,13604.612
ABW,NZL,0,0,0,12981.523
ABW,OMN,0,0,0,13155.516
ABW,PAK,0,0,0,13581.605
ABW,PAL,0,0,0,10625.237
ABW,PAN,0,1,0,1102.9749
ABW,PCN,0,0,0,7735.013
ABW,PER,0,1,0,2848.861
ABW,PHL,0,0,0,16773.428
ABW,PLW,0,0,0,16527.85
ABW,PNG,0,0,0,15957.224
ABW,POL,0,0,0,8990.023
ABW,PRI,0,1,0,781.5696
ABW,PRK,0,0,0,14063.867
ABW,PRT,0,0,0,6637.4243
ABW,PRY,0,1,0,4418.0757
ABW,PYF,0,0,0,9348.107
ABW,QAT,0,0,0,12436.231
ABW,REU,0,0,0,14183.826
ABW,ROM,0,0,0,9528.119
ABW,RUS,0,0,0,9942.475
ABW,RWA,0,0,0,11168.009
ABW,SAU,0,0,0,12028.872
ABW,SDN,0,0,0,10960.457
ABW,SEN,0,0,0,5688.1304
ABW,SGP,0,0,0,18355.379
ABW,SHN,0,0,0,7763.898
ABW,SLB,0,0,0,14562.644
ABW,SLE,0,0,0,6222.756
ABW,SLV,0,1,0,2070.0093
ABW,SMR,0,0,0,8461.912
ABW,SOM,0,0,0,12721.2705
ABW,SPM,0,0,0,4015.7551
ABW,STP,0,0,0,8580.347
ABW,SUR,0,1,0,1793.713
ABW,SVK,0,0,0,8778.741
ABW,SVN,0,0,0,8601.009
ABW,SWE,0,0,0,8715.387
ABW,SWZ,0,0,0,11739.211
ABW,SYC,0,0,0,13989.588
ABW,SYR,0,0,0,10720.528
ABW,TCA,0,0,0,998.4774
ABW,TCD,0,0,0,9201.158
ABW,TGO,0,0,0,7858.3
ABW,THA,0,0,0,16930.207
ABW,TJK,0,0,0,12917.734
ABW,TKL,0,0,0,11515.176
ABW,TKM,0,0,0,12265.522
ABW,TMP,0,0,0,18262.52
ABW,TON,0,0,0,12067.622
ABW,TTO,0,0,0,959.7569
ABW,TUN,0,0,0,8328.585
ABW,TUR,0,0,0,9845.79
ABW,TUV,0,0,0,12456.918
ABW,TWN,0,0,0,15659.134
ABW,TZA,0,0,0,12282.36
ABW,UGA,0,0,0,11386.025
ABW,UKR,0,0,0,9678.449
ABW,URY,0,1,0,5483.9346
ABW,USA,0,0,0,3161.668
ABW,UZB,0,0,0,12732.287
ABW,VCT,0,0,0,964.70435
ABW,VEN,0,1,0,408.80646
ABW,VGB,0,0,0,881.2882
ABW,VNM,0,0,0,16271.962
ABW,VUT,0,0,0,13756.357
ABW,WLF,0,0,0,12049.833
ABW,WSM,0,0,0,13348.891
ABW,YEM,0,0,0,12161.901
ABW,YUG,0,0,0,9082.858
ABW,ZAF,0,0,0,10662.36
ABW,ZAR,0,0,0,9622.77
ABW,ZMB,0,0,0,11267.376
ABW,ZWE,0,0,0,11603.469
AFG,ABW,0,0,0,13257.814
AFG,AFG,0,0,0,303.76135
AFG,AGO,0,0,0,7607.8
AFG,AIA,0,0,0,12292.158
AFG,ALB,0,0,0,4342.1167
AFG,AND,0,0,0,5806.359
AFG,ANT,0,0,0,13218.259
AFG,ARE,0,0,0,1813.6145
AFG,ARG,0,0,0,15298.504
AFG,ARM,0,0,0,2266.1501
AFG,ATG,0,0,0,12297.092
AFG,AUS,0,0,0,11433.487
AFG,AUT,0,0,0,4568.0977
AFG,AZE,0,0,0,1822.2172
AFG,BDI,0,0,0,5930.057
AFG,BEL,0,0,0,5416.121
AFG,BEN,0,0,0,7481.0063
AFG,BFA,0,0,0,7497.595
AFG,BGD,0,0,0,2376.9783
AFG,BGR,0,0,0,4043.005
AFG,BHR,0,0,0,2004.4336
AFG,BHS,0,0,0,12518.579
AFG,BIH,0,0,0,4428.6143
AFG,BLR,0,0,0,3880.9001
AFG,BLZ,0,0,0,13822.816
AFG,BMU,0,0,0,11177.655
AFG,BOL,0,0,0,15349.948
AFG,BRA,0,0,0,13771.763
AFG,BRB,0,0,0,12465.547
AFG,BRN,0,0,0,5741.1406
AFG,BTN,0,0,0,2103.501
AFG,BWA,0,0,0,8023.767
AFG,CAF,0,0,0,6188.3154
AFG,CAN,0,0,0,10768.887
AFG,CCK,0,0,0,5992.4653
AFG,CHE,0,0,0,5247.0435
AFG,CHL,0,0,0,16353.8955
AFG,CHN,1,0,0,4180.4375
AFG,CIV,0,0,0,8144.624
AFG,CMR,0,0,0,6842.123
AFG,COG,0,0,0,7100.583
AFG,COK,0,0,0,15044.605
AFG,COL,0,0,0,14288.693
AFG,COM,0,0,0,5824.411
AFG,CPV,0,0,0,9324.58
AFG,CRI,0,0,0,14334.572
AFG,CUB,0,0,0,12952.3955
AFG,CXR,0,0,0,6312.074
AFG,CYM,0,0,0,13283.304
AFG,CYP,0,0,0,3257.9724
AFG,CZE,0,0,0,4708.024
AFG,DEU,0,0,0,5226.514
AFG,DJI,0,0,0,3668.1165
AFG,DMA,0,0,0,12416.774
AFG,DNK,0,0,0,4857.6924
AFG,DOM,0,0,0,12709.283
AFG,DZA,0,0,0,5866.7363
AFG,ECU,0,0,0,14950.597
AFG,EGY,0,0,0,3584.3193
AFG,ERI,0,0,0,3706.2883
AFG,ESH,0,0,0,7696.608
AFG,ESP,0,0,0,6290.4927
AFG,EST,0,0,0,4238.918
AFG,ETH,0,0,0,4196.2056
AFG,FIN,0,0,0,4254.7944
AFG,FJI,0,0,0,12880.349
AFG,FLK,0,0,0,15447.965
AFG,FRA,0,0,0,5590.381
AFG,FRO,0,0,0,5959.883
AFG,FSM,0,0,0,9494.704
AFG,GAB,0,0,0,7263.6885
AFG,GBR,0,0,0,5718.0776
AFG,GEO,0,0,0,2270.991
AFG,GHA,0,0,0,7786.48
AFG,GIB,0,0,0,6593.598
AFG,GIN,0,0,0,8955.442
AFG,GLP,0,0,0,12384.114
AFG,GMB,0,0,0,8798.221
AFG,GNB,0,0,0,8805.014
AFG,GNQ,0,0,0,7088.998
AFG,GRC,0,0,0,4058.4702
AFG,GRD,0,0,0,12707.119
AFG,GRL,0,0,0,7901.7754
AFG,GTM,0,0,0,14157.619
AFG,GUF,0,0,0,12506.794
AFG,GUY,0,0,0,12850.204
AFG,HKG,0,0,0,4566.617
AFG,HND,0,0,0,14078.02
AFG,HRV,0,0,0,4608.1997
AFG,HTI,0,0,0,12860.997
AFG,HUN,0,0,0,4367.694
AFG,IDN,0,0,0,6000.7856
AFG,IND,0,0,0,1003.8931
AFG,IRL,0,0,0,6085.9263
AFG,IRN,1,1,0,1620.8257
AFG,IRQ,0,0,0,2285.353
AFG,ISL,0,0,0,6658.555
AFG,ISR,0,0,0,3199.1926
AFG,ITA,0,0,0,4935.9937
AFG,JAM,0,0,0,13173.263
AFG,JOR,0,0,0,3096.2295
AFG,JPN,0,0,0,6278.0156
AFG,KAZ,0,0,0,1180.1686
AFG,KEN,0,0,0,5221.581
AFG,KGZ,0,0,0,1043.7155
AFG,KHM,0,0,0,4421.175
AFG,KIR,0,0,0,11202.848
AFG,KNA,0,0,0,12346.531
AFG,KOR,0,0,0,5131.8877
AFG,KWT,0,0,0,2079.5535
AFG,LAO,0,0,0,3784.9177
AFG,LBN,0,0,0,3088.8691
AFG,LBR,0,0,0,8699.117
AFG,LBY,0,0,0,5133.1187
AFG,LCA,0,0,0,12492.829
AFG,LKA,0,0,0,3261.0613
AFG,LSO,0,0,0,8347.427
AFG,LTU,0,0,0,4042.8289
AFG,LUX,0,0,0,5304.3364
AFG,LVA,0,0,0,4186.274
AFG,MAC,0,0,0,4512.573
AFG,MAR,0,0,0,6811.536
AFG,MDA,0,0,0,3626.967
AFG,MDG,0,0,0,6370.1416
AFG,MDV,0,0,0,3406.5645
AFG,MEX,0,0,0,13906.068
AFG,MHL,0,0,0,10652.167
AFG,MKD,0,0,0,4198.337
AFG,MLI,0,0,0,8056.6147
AFG,MLT,0,0,0,4906.9824
AFG,MMR,0,0,0,3330.2122
AFG,MNG,0,0,0,3443.545
AFG,MNP,0,0,0,7848.5703
AFG,MOZ,0,0,0,7760.6577
AFG,MRT,0,0,0,8455.042
AFG,MSR,0,0,0,12360.261
AFG,MTQ,0,0,0,12452.471
AFG,MUS,0,0,0,6210.9453
AFG,MWI,0,0,0,6565.831
AFG,MYS,0,0,0,4846.3164
AFG,NAM,0,0,0,8405.997
AFG,NCL,0,0,0,12033.22
AFG,NER,0,0,0,7082.385
AFG,NFK,0,0,0,12536.673
AFG,NGA,0,0,0,7391.676
AFG,NIC,0,0,0,14235.575
AFG,NIU,0,0,0,13997.746
AFG,NLD,0,0,0,5361.4004
AFG,NOR,0,0,0,5014.602
AFG,NPL,0,0,0,1710.0662
AFG,NRU,0,0,0,10757.727
AFG,NZL,0,0,0,13761.996
AFG,OMN,0,0,0,1587.9423
AFG,PAK,1,0,0,374.6522
AFG,PAL,0,0,0,3244.8435
AFG,PAN,0,0,0,14179.023
AFG,PCN,0,0,0,17900.404
AFG,PER,0,0,0,15811.19
AFG,PHL,0,0,0,5617.8535
AFG,PLW,0,0,0,7294.7197
AFG,PNG,0,0,0,9528.009
AFG,POL,0,0,0,4267.977
AFG,PRI,0,0,0,12479.579
AFG,PRK,0,0,0,4989.0947
AFG,PRT,0,0,0,6791.342
AFG,PRY,0,0,0,14862.547
AFG,PYF,0,0,0,15755.988
AFG,QAT,0,1,0,1987.9252
AFG,REU,0,0,0,6333.151
AFG,ROM,0,0,0,3813.9353
AFG,RUS,0,0,0,3367.5264
AFG,RWA,0,0,0,5755.2217
AFG,SAU,0,0,0,2425.4365
AFG,SDN,0,0,0,4222.921
AFG,SEN,0,0,0,8799.582
AFG,SGP,0,0,0,5157.8916
AFG,SHN,0,0,0,9691.432
AFG,SLB,0,0,0,10680.288
AFG,SLE,0,0,0,8795.566
AFG,SLV,0,0,0,14203.462
AFG,SMR,0,0,0,4901.499
AFG,SOM,0,0,0,4380.1816
AFG,SPM,0,0,0,9474.967
AFG,STP,0,0,0,7512.9175
AFG,SUR,0,0,0,12679.807
AFG,SVK,0,0,0,4508.77
AFG,SVN,0,0,0,4719.4263
AFG,SWE,0,0,0,4597.182
AFG,SWZ,0,0,0,7872.171
AFG,SYC,0,0,0,4589.381
AFG,SYR,0,0,0,3022.602
AFG,TCA,0,0,0,12522.609
AFG,TCD,0,0,0,5989.595
AFG,TGO,0,0,0,7601.8325
AFG,THA,0,0,0,3903.4146
AFG,TJK,1,0,0,459.2474
AFG,TKL,0,0,0,13214.696
AFG,TKM,1,0,0,1042.7314
AFG,TMP,0,0,0,7622.778
AFG,TON,0,0,0,13624.999
AFG,TTO,0,0,0,12806.996
AFG,TUN,0,0,0,5252.618
AFG,TUR,0,0,0,3581.6077
AFG,TUV,0,0,0,12382.264
AFG,TWN,0,0,0,5105.786
AFG,TZA,0,0,0,5574.784
AFG,UGA,0,0,0,5380.85
AFG,UKR,0,0,0,3580.6257
AFG,URY,0,0,0,15100.648
AFG,USA,0,0,0,10847.876
AFG,UZB,1,0,0,751.27094
AFG,VCT,0,0,0,12577.822
AFG,VEN,0,0,0,13208.571
AFG,VGB,0,0,0,12377.805
AFG,VNM,0,0,0,3884.1033
AFG,VUT,0,0,0,11938.982
AFG,WLF,0,0,0,13094.978
AFG,WSM,0,0,0,12020.438
AFG,YEM,0,0,0,3279.8767
AFG,YUG,0,0,0,4258.7603
AFG,ZAF,0,0,0,9273.133
AFG,ZAR,0,0,0,7100.062
AFG,ZMB,0,0,0,7048.76
AFG,ZWE,0,0,0,7088.1895
AGO,ABW,0,0,0,9516.913
AGO,AFG,0,0,0,7607.8
AGO,AGO,0,0,0,419.96664
AGO,AIA,0,0,0,8901.464
AGO,ALB,0,0,0,5623.8267
AGO,AND,0,0,0,5837.088
AGO,ANT,0,0,0,9383.1875
AGO,ARE,0,0,0,5805.255
AGO,ARG,0,0,0,7792.0303
AGO,ARM,0,0,0,6331.346
AGO,ATG,0,0,0,8746.965
AGO,AUS,0,0,0,13528.195
AGO,AUT,0,0,0,6357.0166
AGO,AZE,0,0,0,6643.2515
AGO,BDI,0,0,0,1878.5764
AGO,BEL,0,0,0,6696.229
AGO,BEN,0,0,0,2071.8374
AGO,BFA,0,0,0,2876.1355
AGO,BGD,0,0,0,9121.098
AGO,BGR,0,0,0,5822.2476
AGO,BHR,0,0,0,5615.4727
AGO,BHS,0,0,0,10490.606
AGO,BIH,0,0,0,5888.7886
AGO,BLR,0,0,0,7104.6777
